date,sum
2019-04-29,265.78723404255322
2019-04-28,266.47500000000002
2019-04-27,266
2019-04-26,268.24691358024694
2019-04-25,263.21176470588239
2019-04-24,261.76829268292681
2019-04-23,265.46987951807228
2019-04-22,265.08045977011494
2019-04-21,265
2019-04-20,265.27906976744185
2019-04-19,260.14457831325302
2019-04-18,264.59523809523807
2019-04-17,269.45882352941175
2019-04-16,255.63855421686745
2019-04-15,251.96428571428569
2019-04-14,254
2019-04-13,253.97590361445782
2019-04-12,262.60919540229884
2019-04-11,265.20833333333331
2019-04-10,267.125
2019-04-09,287.80000000000001
2019-04-08,287.09473684210525
2019-04-07,287
2019-04-06,285
2019-04-05,290.61052631578946
2019-04-04,284.56842105263161
2019-04-03,283.85869565217394
2019-04-02,282.59574468085106
2019-04-01,269.16883116883116
2019-03-31,266.05555555555554
2019-03-30,264.38888888888891
2019-03-29,276.69444444444446
2019-03-28,280.97222222222223
2019-03-27,274.33333333333331
2019-03-26,260.77777777777777
2019-03-25,261.52777777777777
2019-03-24,263
2019-03-23,262.87323943661971
2019-03-22,264.37681159420288
2019-03-21,283.56521739130432
2019-03-20,286.94366197183098
2019-03-19,291.48571428571432
2019-03-18,292.94117647058823
2019-03-17,295
2019-03-16,295.1764705882353
2019-03-15,287.91549295774644
2019-03-14,280.08474576271186
2019-03-13,280.46268656716421
2019-03-12,276.25396825396825
2019-03-11,278.98529411764707
2019-03-10,280
2019-03-09,277.78787878787875
2019-03-08,289.01388888888886
2019-03-07,287.39393939393938
2019-03-06,302.45833333333337
2019-03-05,292.97222222222223
2019-03-04,288.88732394366195
2019-03-03,289.36111111111109
2019-03-02,289.18055555555554
2019-03-01,290.16666666666669
2019-02-28,277.08333333333331
2019-02-27,265.85915492957747
2019-02-26,263.88732394366195
2019-02-25,259.2957746478873
2019-02-24,258.72222222222223
2019-02-23,261.77464788732391
2019-02-22,271.80281690140851
2019-02-21,274.625
2019-02-20,268.16666666666669
2019-02-19,265.68055555555554
2019-02-18,264.83098591549293
2019-02-17,265
2019-02-16,264.64285714285717
2019-02-15,270.23611111111114
2019-02-14,259
2019-02-13,254.70422535211267
2019-02-12,248.72463768115944
2019-02-11,254.125
2019-02-10,255
2019-02-09,255
2019-02-08,252.69444444444443
2019-02-07,263.69014084507046
2019-02-06,264.875
2019-02-05,271.38888888888886
2019-02-04,267.30985915492954
2019-02-03,265.95774647887322
2019-02-02,265.36111111111109
2019-02-01,288.15151515151513
2019-01-31,288.44444444444446
2019-01-30,277.97222222222223
2019-01-29,243.10344827586209
